ramp_id,sport_name,track,race_number,race_time,country,bf_uk_adj_revenue,bf_ie_adj_revenue,pp_uk_adj_revenue,pp_ie_adj_revenue,adj_revenue
9441292,Horse Racing,KASAMATSU,5,2022-06-14 05:35:00,Japan,1.8334,0.0121,-123.0365,1.9408,-119.2502
9411114,Horse Racing,KANAZAWA,6,2022-06-05 06:30:00,Japan,1.0,0.0,-988.9693,0.0,-987.9693
9450669,Horse Racing,KASAMATSU,5,2022-06-17 05:25:00,Japan,2.1107,0.0,70.0783,13.0764,85.2654
9483165,Horse Racing,SAGA,3,2022-06-26 06:20:00,Japan,-22.7313,0.0,5.1933,-1.9937,-19.5317
9435602,Horse Racing,KANAZAWA,11,2022-06-12 09:50:00,Japan,13.33,0.0,-127.7043,-0.9766,-115.3509
9427740,Horse Racing,NAGOYA,9,2022-06-10 07:25:00,Japan,1.4387,0.0,54.3775,8.6953,64.5115
9455130,Horse Racing,TOKYO,10,2022-06-18 07:10:00,Japan,2.5,0.0,-19.8443,3.1805,-14.1638
9444838,Horse Racing,KASAMATSU,10,2022-06-15 08:55:00,Japan,-2.4489,0.0,91.0791,9.7262,98.3564
9413954,Horse Racing,MIZUSAWA,6,2022-06-06 06:40:00,Japan,0.64,0.0,-39.5492,2.0404,-36.8688
9435677,Horse Racing,TOKYO,12,2022-06-12 08:30:00,Japan,1.3554,0.0,28.375,4.8261,34.5565
9403325,Horse Racing,SONODA,7,2022-06-03 09:40:00,Japan,4.0,0.0,-4.9544,43.578,42.6236
9496101,Horse Racing,OHI,10,2022-06-30 11:35:00,Japan,33.6724,-14.196,813.3909,100.3759,933.2432
9441291,Horse Racing,KASAMATSU,4,2022-06-14 05:00:00,Japan,2.1967,0.0,-31.3398,-4.6257,-33.7688
9488726,Horse Racing,KANAZAWA,1,2022-06-28 03:40:00,Japan,-20.6067,6.3273,13.8883,-13.8955,-14.2866
9479964,Horse Racing,TOKYO,10,2022-06-25 07:10:00,Japan,10.2578,0.0895,28.2831,9.8461,48.4765
9417280,Horse Racing,MIZUSAWA,12,2022-06-07 10:30:00,Japan,1.8089,5.1186,-44.0221,5.6822,-31.4124
9463911,Horse Racing,NAGOYA,1,2022-06-21 02:55:00,Japan,-6.3667,0.0,59.8472,50.5393,104.0198
9411120,Horse Racing,MIZUSAWA,1,2022-06-05 03:50:00,Japan,0.0,0.0,-8.1125,5.5526,-2.5599
9441299,Horse Racing,MIZUSAWA,2,2022-06-14 04:35:00,Japan,0.0,0.0,-30.87,4.8387,-26.0313
9483143,Horse Racing,KOCHI,7,2022-06-26 10:40:00,Japan,-69.7513,-0.5572,-50.1025,0.5305,-119.8805
9403307,Horse Racing,SAGA,2,2022-06-03 05:35:00,Japan,1.0083,0.0,0.3158,4.9313,6.2554
9417340,Horse Racing,KANAZAWA,4,2022-06-07 05:25:00,Japan,13.3333,0.0,16.5821,0.2673,30.1827
9393065,Horse Racing,KOCHI,2,2022-05-31 07:15:00,Japan,0.4767,0.0,-13.0072,5.9107,-6.6198
9400263,Horse Racing,KASAMATSU,5,2022-06-02 05:10:00,Japan,10.0,0.0,75.875,5.1165,90.9915
9417311,Horse Racing,OHI,3,2022-06-07 07:30:00,Japan,4.475,0.0,137.5826,43.3828,185.4404
9427765,Horse Racing,SONODA,10,2022-06-10 11:20:00,Japan,-6.0567,1.7036,54.4394,14.9637,65.05
9441321,Horse Racing,KAWASAKI,12,2022-06-14 12:50:00,Japan,30.8651,0.0,44.351,4.8653,80.0814
9458313,Horse Racing,SAGA,5,2022-06-19 07:45:00,Japan,5.9919,0.0085,51.6449,9.6859,67.3312
9471687,Horse Racing,SONODA,4,2022-06-23 04:15:00,Japan,86.4043,0.0,17.9751,0.1996,104.579
9467777,Horse Racing,NAGOYA,1,2022-06-22 02:55:00,Japan,8.6667,57.3259,9.274,14.9227,90.1893
9463915,Horse Racing,NAGOYA,5,2022-06-21 05:10:00,Japan,1.6,6.8699,5.0646,0.1957,13.7302
9458294,Horse Racing,MIZUSAWA,9,2022-06-19 09:05:00,Japan,-9.3033,0.0,-91.1852,21.6277,-78.8608
9407647,Horse Racing,SAGA,1,2022-06-04 05:40:00,Japan,45.315,0.0,57.7334,5.7025,108.7509
9441288,Horse Racing,KASAMATSU,1,2022-06-14 03:20:00,Japan,5.2675,0.0,10.7778,-0.704,15.3413
9476105,Horse Racing,NAGOYA,5,2022-06-24 05:10:00,Japan,30.694,0.0,-323.9368,1.6312,-291.6116
9483173,Horse Racing,SAGA,11,2022-06-26 11:25:00,Japan,6.2901,0.86,32.6857,-16.8989,22.9369
9483119,Horse Racing,KANAZAWA,6,2022-06-26 06:30:00,Japan,3.3763,0.0,-334.0875,-3.8098,-334.521
9467778,Horse Racing,NAGOYA,2,2022-06-22 03:25:00,Japan,6.1667,2.2929,7.1955,4.4963,20.1514
9441309,Horse Racing,MIZUSAWA,12,2022-06-14 10:30:00,Japan,7.3417,0.0,33.982,3.6394,44.9631
9492051,Horse Racing,SONODA,5,2022-06-29 04:45:00,Japan,5.0193,0.0,1.1738,1.6698,7.8629
9403313,Horse Racing,SAGA,8,2022-06-03 09:00:00,Japan,-19.17,0.0,-11.3217,-39.0096,-69.5013
9400298,Horse Racing,URAWA,2,2022-06-02 04:50:00,Japan,0.125,0.0,149.4456,11.4045,160.9751
9393029,Horse Racing,KANAZAWA,3,2022-05-31 05:05:00,Japan,0.3667,0.0,-68.2103,3.8762,-63.9674
9395800,Horse Racing,SONODA,9,2022-06-01 08:45:00,Japan,16.6667,0.0,179.2218,-78.5002,117.3883
9450693,Horse Racing,KAWASAKI,7,2022-06-17 10:00:00,Japan,12.6922,-16.06,-8.3749,-14.05,-25.7927
9400294,Horse Racing,SONODA,10,2022-06-02 09:20:00,Japan,-3.4325,0.0,61.5283,10.9339,69.0297
9403287,Horse Racing,KASAMATSU,2,2022-06-03 03:30:00,Japan,3.4,0.0001,9.4584,17.0576,29.9161
9424734,Horse Racing,NAGOYA,7,2022-06-09 06:10:00,Japan,-1.34,0.0,14.0923,6.3587,19.111
9411118,Horse Racing,KANAZAWA,10,2022-06-05 09:20:00,Japan,-1.6,0.0,-1021.4885,-3.1615,-1026.25
9450680,Horse Racing,SAGA,2,2022-06-17 05:15:00,Japan,4.9255,0.0,-20.4971,-4.5054,-20.077
9455123,Horse Racing,TOKYO,3,2022-06-18 03:15:00,Japan,6.5666,0.0,14.6584,17.2557,38.4807
9458288,Horse Racing,MIZUSAWA,3,2022-06-19 05:35:00,Japan,2.0,0.0,1.0471,0.7098,3.7569
9435592,Horse Racing,KANAZAWA,1,2022-06-12 03:40:00,Japan,0.13,0.0,-0.255,-1.5155,-1.6405
9424771,Horse Racing,SONODA,9,2022-06-09 07:05:00,Japan,11.0,0.0,28.1593,27.6484,66.8077
9411099,Horse Racing,SAGA,2,2022-06-05 06:00:00,Japan,-2.5,0.0,3.2042,0.266,0.9702
9450694,Horse Racing,SAGA,10,2022-06-17 09:55:00,Japan,48.7259,0.0,17.2484,13.3204,79.2947
9450684,Horse Racing,KAWASAKI,3,2022-06-17 08:00:00,Japan,-2.3898,0.0514,5.0442,-0.4388,2.267
9441314,Horse Racing,KAWASAKI,5,2022-06-14 08:45:00,Japan,25.0922,0.0,-29.3325,2.5215,-1.7188
9400297,Horse Racing,URAWA,1,2022-06-02 04:20:00,Japan,-257.88,0.0,27.5428,1.8196,-228.5176
9460975,Horse Racing,MIZUSAWA,11,2022-06-20 09:40:00,Japan,-8.6565,0.0,-41.0536,-42.5122,-92.2223
9450708,Horse Racing,SONODA,7,2022-06-17 09:45:00,Japan,20.434,0.8565,64.931,1.7958,88.0173
9413956,Horse Racing,MIZUSAWA,8,2022-06-06 07:50:00,Japan,33.65,0.0,18.9975,7.0882,59.7357
9448570,Horse Racing,KASAMATSU,9,2022-06-16 07:15:00,Japan,14.2967,0.0,-28.497,10.2332,-3.9671
9488728,Horse Racing,KANAZAWA,3,2022-06-28 04:50:00,Japan,14.06,0.0,21.388,17.6474,53.0954
9479946,Horse Racing,TOKYO,2,2022-06-25 02:35:00,Japan,4.71,0.0,-7.0424,4.8048,2.4724
9420342,Horse Racing,OHI,10,2022-06-08 11:30:00,Japan,9.655,-15.3532,-629.3101,-29.7421,-664.7504
9427758,Horse Racing,SONODA,3,2022-06-10 07:40:00,Japan,0.1167,0.0,33.4853,0.4411,34.0431
9438197,Horse Racing,MIZUSAWA,10,2022-06-13 08:35:00,Japan,1.87,0.0,-6.1724,0.9251,-3.3773
9463921,Horse Racing,NAGOYA,11,2022-06-21 08:40:00,Japan,36.1534,2.1468,36.3936,12.7779,87.4717
9435612,Horse Racing,SAGA,5,2022-06-12 08:45:00,Japan,3.9762,0.0,56.7217,5.8177,66.5156
9431999,Horse Racing,KOCHI,5,2022-06-11 09:35:00,Japan,10.7134,57.5431,78.7553,12.1254,159.1372
9400266,Horse Racing,KASAMATSU,8,2022-06-02 06:45:00,Japan,-42.4917,12.8052,22.4235,0.3716,-6.8914
9420287,Horse Racing,SONODA,12,2022-06-08 08:50:00,Japan,2.3817,0.0,-15.3175,-6.0792,-19.015
9463916,Horse Racing,NAGOYA,6,2022-06-21 05:45:00,Japan,11.3833,0.0,-25.4815,2.4217,-11.6765
9476107,Horse Racing,NAGOYA,7,2022-06-24 06:15:00,Japan,52.4158,0.0,76.7459,0.3665,129.5282
9479851,Horse Racing,SAGA,11,2022-06-25 11:25:00,Japan,18.7725,0.0,54.7475,1.2911,74.8111
9403320,Horse Racing,SONODA,2,2022-06-03 07:00:00,Japan,2.07,0.0,-17.0367,-113.179,-128.1457
